Link,Abstract,Led-By,Co-Led-By
https://www.khoury.northeastern.edu/research_projects/foundations-of-just-in-time-compilation/,"Modern programming languages rely on just-in-time compilation techniques to achieve performance competitive with computer languages such as C or C++. Just-in-time compilers can observe the program’s actions as it executes, and inspect its state. Knowledge of the program’s state and past behavior, allows the compiler to perform speculative optimizations that improve performance. This project develops a general model of just-in-time compilation that subsumes deployed systems and allows systematic exploration of the design space of dynamic compilation techniques. The research questions that will be tackled in this work lie along two dimensions: Experimental—explore the design space of dynamic compilation techniques and gain an understanding of trade-offs; Foundational—formalize key ingredients of a dynamic compiler and develop techniques for reasoning about correctness in a modular fashion.",Jan Vitek,Amal Ahmed
https://www.khoury.northeastern.edu/research_projects/foundations-for-gradual-typing/,,Amal Ahmed,
https://www.khoury.northeastern.edu/research_projects/foodome-connecting-polyphenols-to-health/,The Foodome project aims to develop a systematic approach to analyzing lifestyle factors contributing to coronary heart disease (CHD). The goal is to create tools and a computational framework to accurately detect the relationship between diet and CHD.,,Albert-László Barabási
https://www.khoury.northeastern.edu/research_projects/enhancement-and-support-of-dmtcp-for-adaptive-extensible-checkpoint-restart/,"Society’s increasingly complex cyberinfrastructure creates a concern for software robustness and reliability. Yet, this same complex infrastructure is threatening the continued use of fault tolerance. Consider when a single application or hardware device crashes. Today, in order to resume that application from the point where it crashed, one must also consider the complex subsystem to which it belongs. While in the past, many developers would write application-specific code to support fault tolerance for a single application, this strategy is no longer feasible when restarting the many inter-connected applications of a complex subsystem.
This project will support a plugin architecture for transparent checkpoint-restart. Transparency implies that the software developer does not need to write any application-specific code. The plugin architecture implies that each software developer writes the necessary plugins only once. Each plugin takes responsibility for resuming any interrupted sessions for just one particular component. At a higher level, the checkpoint-restart system employs an ensemble of autonomous plugins operating on all of the applications of a complex subsystem, without any need for application-specific code.
The plugin architecture is part of a more general approach called process virtualization, in which all subsystems external to a process are virtualized. It will be built on top of the DMTCP checkpoint-restart system. One simple example of process virtualization is virtualization of ids. A plugin maintains a virtualization table and arranges for the application code of the process to see only virtual ids, while the outside world sees the real id. Any system calls and library calls using this real id are extended to translate between real and virtual id. On restart, the real ids are updated with the latest value, and the process memory remains unmodified, since it contains only virtual ids. Other techniques employing process virtualization include shadow device drivers, record-replay logs, and protocol virtualization. Some targets of the research include transparent checkpoint-restart support for the InfiniBand network, for programmable GPUs (including shaders), for networks of virtual machines, for big data systems such as Hadoop, and for mobile computing platforms such as Android.",Gene Cooperman,Gene Cooperman
https://www.khoury.northeastern.edu/research_projects/cdi-type-iii-collaborative-research-dynamical-processes-in-interdependent-techno-social-networks/,"This multidisciplinary, data-driven research project will:

* Study the microscopic processes that rule the dynamics of interdependent networks, with a particular focus on the social component.
* Define new mathematical models/foundational theories for the analysis of the robustness/resilience and contagion/diffusive dynamics of interdependent networks.",David Lazer,Alessandro Vespignani
https://www.khoury.northeastern.edu/research_projects/development-of-algorithms-for-detecting-the-activities-of-adults-and-children-from-wearable-sensors/,"We are working on a variety of projects studying how to use mobile sensor data, especially from accelerometers, to detect physical activity (type, duration, and intensity), sedentary behavior, and sleep in adults and children. We are interested in extending this work to detect habits, and ultimately to develop a comprehensive probabilistic model of someone’s behaviors.",Stephen Intille,Stephen Intille
https://www.khoury.northeastern.edu/research_projects/crowd-sourced-annotation-of-longitudinal-sensor-data-to-enhance-data-driven-precision-medicine-for-behavioral-health/,"Longitudinal sensor data from wearable monitors and mobile devices offers the potential to transform behavioral science. However, this data often lacks the rich annotations necessary for scientific analysis. To address this issue, we explored the use of mobile application game players to provide additional annotations, enhancing the data for behavioral science and enabling automatic processing. This approach has the potential to improve the understanding of how individual-level behaviors relate to health outcomes in research studies like NHANES and All of Us.",Stephen Intille,Seth Cooper
https://www.khoury.northeastern.edu/research_projects/conversational-agents-to-improve-quality-of-life-in-palliative-care/,,Timothy W. Bickmore,Michael K. Paasche-Orlow
https://www.khoury.northeastern.edu/research_projects/fmitf-track-i-advert-compositional-atomic-specifications-for-distributed-system-verification/,"Distributed systems are difficult to verify due to their inherent complexity from handling concurrency and network asynchrony. This project's novelties are a compositional atomic distributed object model that facilitates reasoning and verification of both individual and composition of distributed systems, and a formal verification tool, ADVERT, that can be used to build large-scale certified distributed systems. The project's impacts include new tools to significantly improve the reliability and security of large-scale software infrastructures, such as the cloud, and applications that run on top of the infrastructure, and also new courses on distributed-system design and verification that will broaden the participation of underrepresented groups.",Zhong Shao,Robert Soule
https://www.khoury.northeastern.edu/research_projects/shf-small-collaborative-research-compiler-coaching/,"The ""Compiler Coaching"" (Dialog) project explores creating communication channels between translation processes and software engineers to improve software speed, size, or energy consumption. It involves optimizing compilers for Racket and JavaScript languages, establishing communication channels, and gathering empirical evidence on their benefits for software engineers. The project aims to enable programming language developers to implement similar channels for their clients and contribute to an open-source programming language project with a history of educational outreach.",Matthias Felleisen,Matthias Felleisen
https://www.khoury.northeastern.edu/research_projects/collecting-family-health-history-using-relational-agents/,"A family health history can significantly improve disease risk assessments. However, most health providers do a poor job of collecting this information. This project aims to develop a relational agent that simulates the behavior of a genetics counselor to collect family health histories from individuals by interviewing them about their family. Preliminary testing has shown that patients find the agent significantly easier to use compared with a conventional web-based tool. This work is a collaboration with Dr. Catharine Wang at the Boston University School of Public Health and Dr. Michael Paasche-Orlow at the Boston Medical Center.",Timothy W. Bickmore,Timothy W. Bickmore
https://www.khoury.northeastern.edu/research_projects/center-for-statistics-and-quantitative-infectious-diseases/,"The Center for Statistics and Quantitative Infectious Diseases (CSQUID) is a multi-institutional MIDAS Center of Excellence with a multi-disciplinary approach to computational, statistical, and mathematical modeling of important infectious diseases. Research is motivated by multi-scale problems such as immunologic, epidemiologic, and environmental drivers of the spread of infectious diseases with the goal of understanding and communicating the implications for public health policy.

To extend the results of the MIDAS Center’s research projects beyond academia, the Software Development team, led by Northeastern professor Alessandro Vespignani, will help translate the research into products that can be used by external researchers and public health officials. To do so, the team will integrate some of the independently developed tools to create a coherent computational infrastructure that is more than the sum of its methodological parts. In particular, the Software Development team will develop and maintain a suite of computational tools for infectious disease modeling and analysis centered around a multi-scale modeling computational platform (MCP), optimized for cloud deployment.

The major aims of these software developments are:
* Develop an MCP capable of integrating large scale stochastic modeling approaches working at different scales of resolution. We will start by creating a multi-scale hybrid model based on combining the global individual-based meta-population model GLEAM with the US scale agent-based influenza model FluTE. The MCP architecture will be designed around the existing GLEAMviz client-server architecture. It will be expanded with the development of Application Programming Interfaces (APIs) for the plug-in of models developed by the MIDAS research community. The MCP will consist of computationally intensive tools, so we plan to design and to deploy a cloud computing environment with elastic capabilities.

* Develop new features and graphical user interfaces (GUIs) for statistical tools developed in the context of the research activities of the Center such as extensions of pomp, TranStat, among others. We will develop integrated workflows aimed at allowing those programs to exchange data and parameter estimates with the MCP in an automated way.

* Develop a website that will act as a sharing repository for the software developed in this MIDAS Center, with training materials, manuals, and workflow examples. We aim to provide the best accessibility and to foster adoption of the developed software by MIDAS, the research community, and public health agencies by using best practices and public repositories.",Alessandro Vespignani,Alessandro Vespignani
https://www.khoury.northeastern.edu/research_projects/satc-core-medium-collaborative-bridging-the-gap-between-protocol-design-and-implementation-through-automated-mapping/,"Computer networking and the internet have revolutionized our societies, but are plagued with security problems which are difficult to tame. Serious vulnerabilities are constantly being discovered in network protocols that affect the work and lives of millions. Even some protocols that have been carefully scrutinized by their designers and by the computer engineering community have been shown to be vulnerable afterwards. Why is developing secure protocols so hard? This project seeks to address this question by developing novel design and implementation methods for network protocols that allow to identify and fix security vulnerabilities semi-automatically. The project serves the national interest as cyber-security costs the United States many billions of dollars annually. Besides making technical advances to the field, this project will also have broader impacts in education and curriculum development, as well as in helping to bridge the gap between several somewhat fragmented scientific communities working on the problem.
Technically, the project will follow a formal approach building upon a novel combination of techniques from security modeling, automated software synthesis, and program analysis to bridge the gap between an abstract protocol design and a low-level implementation. In particular, the methodology of the project will be based on a new formal behavioral model of software that explicitly captures how the choice of a mapping from a protocol design onto an implementation platform may result in different security vulnerabilities. Building on this model, this project will provide (1) a modeling approach that cleanly separates the descriptions of an abstract design from a concrete platform, and allows the platform to be modeled just once and reused, (2) a synthesis tool that will automatically construct a secure mapping from the abstract protocol to the appropriate choice of platform features, and (3) a program analysis tool that leverages platform-specific information to check that an implementation satisfies a desired property of the protocol. In addition, the project will develop a library of reusable platform models, and demonstrate the effectiveness of the methodology in a series of case studies.",Stavros Tripakis,Cristina Nita-Rotaru
https://www.khoury.northeastern.edu/research_projects/behaviot-modeling-and-controlling-internet-of-things-behavior-using-network-inferred-state-machines/,"This project aims to investigate how to automatically determine when IoT systems compromise privacy, security, and correctness, as well as mitigate such problems. The key idea is to focus on information gleaned from the network traffic that such devices generate, since network traffic is the common platform that all such IoT systems ultimately rely upon. Specifically, the project will develop technology that models the behavior of an IoT system from its network traffic, then use these models to identify unexpected behavior. To mitigate unexpected behavior, the project will identify in-network strategies such as isolating, changing, and/or blocking such traffic.",David Choffnes,David Choffnes
https://www.khoury.northeastern.edu/research_projects/twc-medium-automating-countermeasures-and-security-evaluation-against-software-side-channel-attacks/,"Side-channel attacks (SCA) exploit information leakage from cryptographic implementations to recover secret keys. While effective countermeasures exist, they are application-specific and labor intensive. This project proposes an automation framework for information leakage analysis, multi-level countermeasure application, and formal security evaluation against software side-channel attacks. The framework unifies power analysis and cache-based timing attacks, defines new metrics of information leakage, and automatically identifies possible leakage. It extends the compilation process to optimize for security and ensure secure execution at run-time. Formal methods guarantee side-channel security at a certain confidence level. The outcome benefits security system architects and software developers in building verifiable SCA security into their applications. The project engages undergraduates, women, and minority students in research and develops new educational tools.",Yunsi Fei,Aidong Ding
https://www.khoury.northeastern.edu/research_projects/twc-medium-collaborative-automated-reverse-engineering-of-commodity-software/,"Software, including common examples such as commercial applications or embedded device firmware, is often delivered as closed-source binaries. While prior academic work has examined how to automatically discover vulnerabilities in binary software, and even how to automatically craft exploits for these vulnerabilities, the ability to answer basic security-relevant questions about closed-source software remains elusive. This project aims to provide algorithms and tools for answering these questions. Leveraging prior work on emulator-based dynamic analyses, we propose techniques for scaling this high-fidelity analysis to capture and extract whole-system behavior in the context of embedded device firmware and closed-source applications. Using a combination of dynamic execution traces collected from this analysis platform and binary code analysis techniques, we propose techniques for automated structural analysis of binary program artifacts, decomposing system and user-level programs into logical modules through inference of high-level semantic behavior. This decomposition provides as output an automatically learned description of the interfaces and information flows between each module at a sub-program granularity. Specific activities include: (a) developing software-guided whole-system emulator for supporting sophisticated dynamic analyses for real embedded systems; (b) developing advanced, automated techniques for structurally decomposing closed-source software into its constituent modules; (c) developing automated techniques for producing high-level summaries of whole system executions and software components; and (d) developing techniques for automating the reverse engineering and fuzz testing of encrypted network protocols. The research proposed herein will have a significant impact outside of the security research community. We will incorporate the research findings of our program into our undergraduate and graduate teaching curricula, as well as in extracurricular educational efforts such as Capture-the-Flag that have broad outreach in the greater Boston and Atlanta metropolitan areas. The close ties to industry that the collective PIs possess will facilitate transitioning the research into practical defensive tools that can be deployed into real-world systems and networks.",Engin Kirda,William Robertson
https://www.khoury.northeastern.edu/research_projects/auditory-seasoning/,"The experience of what we eat depends not only on taste, but also on other sensory feedback. Perceptual research has shown the potential of altering visual, olfactory, or textural food cues to affect flavor, texture, and satiety. Recently, the HCI community has leveraged such research to encourage healthy eating, but the resulting tools often require invasive or additional devices. Ubiquitous and unobtrusive, audio feedback-based tools could alleviate those drawbacks, but research in this area has been limited to food texture. We expand on prior psychology research by exploring a wide range of auditory feedback styles to modify not only flavor attributes but also appetite-related measures. We have developed mobile tools that offer curated audio modes to alter chewing sounds to significantly influence food perception and eating behavior beyond texture alone.",Rebecca Kleinberger,Rebecca Kleinberger
https://www.khoury.northeastern.edu/research_projects/auditing-critical-dependencies-between-online-media-platforms/,"This research aims to audit the dependencies between major online media platforms, with a focus on major search engines, and investigate the extent to which they rely on content from social media platforms. It will answer questions about the fraction of search results linking to social media, the social media platforms and authors appearing in search results, how links to social media vary by query, whether results for social media are personalized, and whether these links increase content diversity or serve as vehicles for misinformation. By conducting hybrid algorithm audits that combine real-user experiments with simulated online identities, the research will address the challenge of ecological validity by using a dataset of Google Search queries from a large participant panel and leveraging autocomplete suggestions to diversify queries. The results aim to enhance public media literacy and inform the designers of the platforms.",Christo Wilson,Christo Wilson
https://www.khoury.northeastern.edu/research_projects/assessing-and-communicating-movement-stereotypy-and-arousal-telemetrically-in-individuals-with-autism-spectrum-disorder/,"Stereotypical motor movements (stereotypies) are common in individuals with Autism Spectrum Disorder (ASD). Evidence suggests that stereotypies may be related to arousal regulation, with changes in autonomic activity preceding or following stereotypies. This project aimed to explore this relationship using ambulatory heart rate monitors and wireless motion sensors. The goal was to develop more accurate and reliable methods for detecting and assessing stereotypies in real-time, allowing for better understanding and intervention.",Matthew Goodwin,Matthew Goodwin
https://www.khoury.northeastern.edu/research_projects/aqua-and-other-privacy-enhancing-systems/,Aqua project page,Stevens Le Blond,Stevens Le Blond
https://www.khoury.northeastern.edu/research_projects/anyone-python/,"Anyone Python is an online “Basic Python” class using Zoom for ALL (students and parents). In this online class, students learn ‘Basic Python’ and ‘Intro Computer Science’ in an informal way. No curriculum, No textbook, No grade, No PPT files, No materials, No stress … just a computer.
Anyone Python most recently finished its third season on March 19, 2021. A total 150 people from all over the world (US, South Korea and China) registered for the third season, comprising of 10 episodes conducted every week over Zoom. The main theme of Season 03 was “Core Python”, allowing students to learn more about core Python and computer science in general.
All Anyone Python episodes are available as Youtube videos. All materials are available at description of each Youtube video. For more information, please visit the Anyone Python homepage.",Jeongkyu Lee,Jeongkyu Lee
https://www.khoury.northeastern.edu/research_projects/a-i-to-empower-displaced-rural-workers/,"**Abstract:**

The research project aims to empower displaced rural workers by developing methods for transitioning them into high-skilled digital jobs that are unlikely to be automated. It explores how to leverage Artificial Intelligence (AI) tools to augment workers' abilities rather than displace them, and how to design tools that foster skill development and creativity. The project investigates how to support marginalized workers in their transition to online work, addressing the challenge that they often lack the time or resources for unpaid training. It seeks to understand worker skills and trajectories, develop new human-computer interaction paradigms to enable collaboration with AI, and explore organizational structures that support skill development and creativity. By grounding the research in real-world contexts, the project aims to lay a foundation for future research on the intersection of human workers and AI in online work.",Saiph Savage,Saiph Savage
https://www.khoury.northeastern.edu/research_projects/a-language-based-approach-to-faster-and-safer-serverless-computing/,"Cloud computing, which allows a customer to rent virtual servers from cloud providers, is the infrastructure that powers a wide variety of Internet applications used by consumers, businesses, and the government. Unfortunately, traditional cloud computing requires significant system-management expertise to ensure that applications are reliable, secure, and cost-effective. In contrast, “serverless computing” is a new approach to cloud computing that automates a significant portion of system management, and has seen explosive growth over the last few years. Despite being a promising advance, serverless computing introduces new problems, and is more limited in scope than traditional cloud computing. This research project develops tools and techniques to make serverless computing more cost-effective, more reliable, and more broadly applicable.
The intellectual merits of the project are the development of (1) the mathematical foundations of serverless computing, (2) analysis tools to help programmers find and eliminate software bugs in serverless software, (3) new abstractions that enable a broader class of software to use serverless computing, and (4) new runtime systems that make serverless computing faster and cheaper. The project’s broader significance and importance are that (1) it helps programmers make their serverless applications more reliable and secure, (2) it benefits cloud-computing providers by making serverless computing cheaper and faster, and (3) it encourages further research in this new area by enabling the publishing of research results and the release of open-source software. The project also involves high-school outreach workshops to broaden participation in computing.",Arjun Guha,Arjun Guha
